missing,Ensembl
Aldh9a1,ENSMUSG00000026687
Chil1,ENSMUSG00000064246
Cxcl11,ENSMUSG00000060183
Cyp4a10/31/32,ENSMUSG00000066072
Ero1l,ENSMUSG00000021831
Gpx2,ENSMUSG00000042808
H2-Pa,ENSMUSG00000098241
Hc,ENSMUSG00000026874
Kir3dl1/2,ENSMUSG00000031424
NR1I1,ENSMUSG00000022479
Oas1a/g,ENSMUSG00000052776
Oas1b,ENSMUSG00000029605
P2ry13,ENSMUSG00000036362
Saa1/2,ENSMUSG00000074115
Skp1a,ENSMUSG00000036309
Txn1,ENSMUSG00000028367
