"Probe Name","liver conv 1","liver conv 2","liver conv 3","liver conv 4","liver cef 1","liver cef 2","liver cef 3","liver cef 4","liver cdi 1","liver cdi 2","liver cdi 3","liver cdi 4","ileum conv 1","ileum conv 2","ileum conv 3","ileum conv 4","ileum cef 1","ileum cef 2","ileum cef 3","ileum cef 4","ileum cdi 1","ileum cdi 2","ileum cdi 3","ileum cdi 4","cecum conv 1","cecum conv 2","cecum conv 3","cecum conv 4","cecum cef 1","cecum cef 2","cecum cef 3","cecum cef 4","cecum cdi 1","cecum cdi 2","cecum cdi 3","cecum cdi 4"
"ABCC2",8975.97,7621.18,8246.25,7645.19,8655.3,8861.63,7873.65,7558.01,9466.79,8809.31,8007.08,6232.05,2580.17,2469.07,3584.55,3381.11,1121.18,1347.51,2381.77,4808.68,2364.68,2526.36,1890.12,2687.84,1,6.75,14.91,2.15,444.1,1,3.86,4.3,4.82,2,1,1.46
"Abca1",3529.58,2325,3019.86,2812.93,3117.14,2995.65,3059.39,3129.78,2806.08,3381.3,3685.02,4493.72,958.21,735,682.39,1015.6,214.08,326.07,572.61,498.89,883.87,733.79,459.36,655.7,732.21,260.59,282.73,319.61,224.53,396.79,275.45,247.63,160.32,239.56,282.5,168.42
"Abcb11",6937.55,6832.47,6993.46,7409.61,8835.24,8283.96,7761.43,8065.22,9128.83,6949.53,6216.17,4662.96,14.24,12.25,8.91,10.04,18.03,4.18,15.19,37.56,19.31,16.58,3.41,21.9,10.72,2.64,9.54,15.22,9.72,7.92,3.32,4.3,11.77,4.62,8.1,6.15
"Acaa2",17690.98,16925.1,17346.33,16602.95,16186.12,16853.32,15783.31,15153.02,18701.36,18612.76,14506.88,12759.85,2161.08,1569.26,2408.65,1669.54,2065.33,2308.11,2144.82,4391.82,1603.5,1373.54,2208.27,1787.34,1299.94,2371.4,2336.62,2154.4,1810.64,1781.26,1889.76,2158.11,879.03,786.51,975.32,976.83
"Acaca",1608.62,1498.16,1540.33,2052.22,2226.33,1767.59,1970.85,2160.28,2468.12,1443.54,1397.43,1558.63,388,725.63,534.47,615.57,1274.31,1578.15,960.08,428.85,1263.95,580.69,1722.72,732.05,473.32,602.7,555.93,578.26,1067.13,436.16,554.12,619.67,377.27,479.73,380.8,378.72
"Acacb",1509.08,1612.56,1632.56,2277.01,1979.75,1297.98,962.74,1677.41,1286.38,1083.51,938.96,760.79,54.54,78.65,58.49,63.92,112.65,127.53,61.81,36.45,99.38,39.36,209.65,84.66,160.54,235.28,257.65,217.84,123.86,138.22,230.28,167.95,105.28,107.4,122.7,117.45
"Acad9",901.94,964.33,977.34,944.41,902.33,880.32,929.08,872.62,890.23,918.4,829.12,922.77,530.05,508.55,518.77,560.77,519.37,593.05,490.06,520.01,532.17,498.67,539.83,438.16,635.62,748.44,689.39,722.05,611.35,706.26,725.02,687.71,806.9,755.57,696.72,734.89
"Acox2",5792.94,5694.56,5779.09,5629.2,5825.13,5800.84,5490.83,5456.19,4679.4,5417.67,5535.62,3342.89,194.57,139.94,158.48,117.81,308.69,212.86,100.65,185.41,154.11,149.63,342.83,232.12,75.12,87.49,94.63,73.11,203.13,62.89,61.01,72.94,136.81,88.53,135.31,99.29
"Acsl4",1244.33,1249.31,1234.81,1264.52,1359.95,1248.11,1473.34,1321.8,1131.95,1184.41,1151.48,910.68,66.63,130.58,128.73,93.15,103.87,186.67,122.99,127.6,103.43,94.04,133.82,130.68,218.36,212.7,191.37,185.16,179.35,165.37,186.19,206.56,177.95,183.44,206.8,211.18
"Acsm3",2534.26,2371.16,2276.25,2172.71,2486.24,2891.75,2462.75,2010.56,2602.41,3030.44,2686.88,1943.04,162.34,231.03,126.26,243.85,223.84,424.92,172.51,88.7,175.39,227.1,324.34,150.55,149.37,218.17,234.36,267.33,299.04,126.69,130.68,107.88,83.91,102.68,142.15,113.35
"Acta2",4.16,21.1,14.68,54.21,42.61,7.59,21.96,67.82,64.35,10.29,45.89,18.55,2869.3,3009.64,1879.78,2957.33,3623.97,4785.23,2790.61,2188.57,3074.17,3588.06,3221.91,3387.53,3611.59,5579,7847.98,4347.73,3979.35,1753.44,3591.15,4224.28,1207.13,2040.38,2151.22,2154.89
"Actr1a",834.26,789.73,773.66,717.81,804.58,855.38,837.43,745.35,863.37,925.28,860.16,840.57,1507.25,1343.67,1275.71,1437.56,1477.19,1132.07,1142.64,1442.66,1304.5,1465.58,1237.17,1457.89,987.16,1278.02,1276.09,1209.46,1208.22,1103.28,1072.27,1200.72,1214.08,1239.6,1121.98,1127.39
"Acvrl1",1.99,19.09,1.92,5.65,2.22,20.06,3.26,6.06,3.92,3.41,19.62,8.88,85.77,116.11,103.94,113.24,84.36,133.45,215.24,143.17,113.57,78.55,82.02,143.23,84.97,125.8,157.33,103.92,61.24,58.82,126.32,145.88,64.67,77.51,63.82,59.46
"Ada",1.99,3.03,1.92,7.45,2.22,3.44,1.87,15.42,17.35,5.7,19.62,2.42,5045.34,2636.78,2761.5,1589.17,1414.76,140.21,1656.36,3590.33,2231.9,2845.33,634.16,1827.08,84.97,46.43,76.72,60.04,1340.59,67.64,52.3,90.72,529.56,207.04,228.88,207.08
"Adam17",448.07,372.3,431.64,394.1,378.06,377.46,356.75,371.02,503.03,397.84,451.83,407.8,436.36,497.49,505.55,504.14,342.83,460.41,579.4,576.7,480.47,457.66,479.71,534.38,673.73,576.02,495.91,598.8,401.29,476.2,466.49,550.41,433.38,472.92,443.88,413.29
"Adam9",1226.41,1269.38,1246.34,1163.81,1191.12,1179.54,1095.54,1082.24,1217,1227.98,1299.53,1210.48,307.41,460.03,360.94,414.64,340.88,519.55,507.54,446.64,436.89,422.12,501.91,489.41,838,986.54,940.19,1047.92,564.58,880.68,924.22,1091.62,693.61,692.65,748.76,799.92
"Adcy7",1.99,2.01,1.92,12.85,2.22,2.08,7,1.87,17.35,2.29,2.39,2.42,47.49,60.77,92.37,56.62,26.81,65.86,52.1,58.68,69.98,62.15,72.78,59.56,244.65,48.49,100.9,76.85,31.12,81.22,68.63,107.27,21.39,27.69,54.36,39.54
"Adh1",74925.8,84384.59,79738.36,78409.88,83861.35,69888.19,66114.16,72102.43,76552.85,72438.85,64750.23,48229.97,4523.5,1736.96,8276.59,1425.69,592.53,814.4,1865.14,17473.5,2339.34,2270.28,1210.35,1740.27,2497.82,1025.55,1743.65,1983.52,699.33,2271.94,1438.01,1884.75,343.07,280.98,602.1,559.74
"Adh4",4453.24,4821.57,4891.37,3530.49,5198.67,5561.88,5195.32,4239.65,5838.76,5642.4,5339.82,4602.52,81.74,38.64,147.74,44.74,1,5.03,43.36,196.52,41.6,22.96,2.49,16.67,1,6.75,1,4.01,1,1,1,1,1,3.57,1,2.05
"Adh6a",4.16,19.09,3.15,27.23,20.4,5.51,8.87,17.29,17.35,24.05,31.56,25.8,6584.7,2852.15,10030.11,2582.87,184.82,291.44,2071.99,13579.46,2490.36,2892.72,244.8,1717.27,10.72,15.64,15.81,4.95,64.42,5.21,10.94,7.36,9.63,4.62,9.15,4.39
"Adipoq",1.99,2.01,1.92,1.8,4.85,2.08,1.87,1.87,2.24,5.7,2.39,2.42,375.91,683.92,383.25,320.57,755.41,1028.15,169.6,26.44,1013.61,9.29,1414.74,33.41,1,6.06,13.12,54.44,394.95,1,4.41,16.55,4.29,2.52,1,1
"Adipor1",189.29,173.62,208.75,217.86,240.32,200.84,296.9,198.83,247.88,228.14,244.09,204.71,256.03,232.74,189.06,196.35,229.69,196.81,234.66,232.1,232.15,255.35,234.63,246.77,187.48,253.07,240.63,231.84,204.72,214.23,195.99,278.27,208.41,185.54,188.4,201.22
"Adpgk",245.03,221.78,210.67,216.06,202.56,223.7,225.83,247.5,174.02,209.8,272.74,219.22,120.02,133.13,151.05,146.12,127.28,184.14,132.7,82.03,140.93,150.54,161.56,96.16,205.22,120.33,129.57,123.53,129.41,133.47,120.88,94.4,143.22,129.43,137.94,153.19
"Aim2",109.66,87.32,78.09,72.19,78.16,86.55,91.16,116.48,109.12,108.9,98.42,137.02,48.5,97.38,81.63,97.72,132.15,147.81,103.56,60.9,120.66,83.11,205.95,127.54,686.21,868.18,624.9,815.43,391.78,732.73,734.27,794.97,633.76,590.39,633.11,670.46
"Akr1b7",1.99,2.01,1.92,1.8,2.22,2.08,1.87,1.87,15.11,2.29,2.39,2.42,583.44,372.35,453.49,574.47,316.5,364.09,257.97,736.78,567.64,607.12,568.5,704.86,6.12,60.8,15.81,11.48,133.38,11.99,4.95,10.43,1.08,4.62,6.53,1
"Akr1b8",87.77,29.12,49.27,25.43,69.27,61.62,42.53,56.59,75.54,72.21,57.83,54.82,57.56,45.45,49.4,34.7,57.05,48.96,85.11,62.02,27.41,51.21,47.8,66.88,160.54,388.54,174.35,125.4,134.17,176.23,324.98,229.85,563.76,768.68,630.49,665.18
"Akt1",507.79,436.52,475.83,431.87,478.02,416.94,517.6,522.62,543.32,581.3,540.18,685.84,819.18,820.13,778.25,752.57,773.95,865.09,1118.37,1143.63,781.5,731.06,746.07,1052.09,868.89,1068.65,1203.53,990.97,821.4,919.36,1080.97,1283.47,1174,1154.13,984.26,1103.37
"Alad",2976.18,2991.29,3023.7,2683.45,3254.88,3109.93,3252.04,2736.74,3139.56,2945.59,3049.84,2525.71,766.79,694.99,752.63,633.84,589.6,589.67,878.5,1154.75,714.61,676.38,601.79,914.03,486.46,788.12,700.14,687.5,451.23,431.41,504.05,553.48,602.24,592.48,508.01,557.4
"Aldh3a2",5291.3,4458.32,4259.2,4735.41,4183.46,3853.83,3287.57,2830.32,5635.09,4433.88,2892.24,2196.9,3433.46,2838.53,3301.11,3532.72,2486.69,2183.07,2386.63,3944.95,2598.81,3218.97,2936.13,3302.81,1359.08,1558.55,1400.59,1758.49,1996.92,1829.45,1845.13,1821.61,1048.96,977.92,1254.45,1122.11
"Aldh7a1",5532.16,5616.3,5494.71,5233.56,5962.86,5981.62,5320.63,5250.32,6046.91,5789.16,5074.76,4484.05,77.71,105.89,74.19,133.34,239.44,295.66,102.59,55.35,210.87,147.81,282.72,276.05,178.28,224.33,216.45,201.03,173.8,122.62,161.7,146.49,101.54,87.48,105.88,106.91
"Aldh9a1",5368.93,5487.85,5706.07,5346.86,6160.57,5428.9,5550.68,4904.07,5879.05,6066.64,5041.33,4858.79,7184.12,6213.9,5716.54,6266.29,6387.19,5219.49,5615.54,7127.55,6334.78,7567.81,6536.59,7510.36,686.87,870.91,859.58,832.23,3709.06,814.17,874.7,874.03,784.45,830.56,834.44,880.76
"Aldob",105961.84,133047.58,115519.97,125853.08,136341.64,123251.36,114926.29,115048.45,137754.83,122987.95,94519.91,95723.34,42097.57,29450.7,46968.97,32640.3,19928.23,13881.81,23678.06,54386.34,29964.87,30329.93,21938.2,29265.58,1443.19,2231.13,2235.4,2444.79,12795.3,2449.07,2174.96,2948.78,1443.85,1432.06,1720.71,1697.96
"Amotl1",105.68,113.41,108.83,100.97,120.36,90.71,83.68,144.56,133.74,124.95,136.63,100.75,117,131.43,126.26,147.03,113.62,194.28,180.28,157.62,149.04,118.65,174.51,173.56,180.91,231.17,331.1,201.03,150.81,118.54,225.93,307.08,91.39,119.99,124.27,120.97
"Amotl2",191.28,189.67,222.2,190.89,220.33,177.98,173.46,195.09,223.26,184.57,215.43,103.17,144.2,138.24,96.51,125.12,101.92,156.26,114.25,133.16,157.15,177.88,159.71,144.27,68.55,75.17,103.59,83.38,62.04,64.25,124.69,110.33,33.14,43.95,56.46,58.29
"Anapc1",159.43,187.67,168.4,172.9,175.9,171.75,205.25,202.58,135.97,159.35,210.66,245.81,229.83,277,260.12,295.91,215.06,376.77,272.54,268.78,283.84,301.82,272.54,288.6,314.96,303.7,282.73,276.66,269.71,242.74,276.54,281.95,182.23,214.91,183.15,177.21
"Anapc10",233.08,203.72,222.2,172.9,173.68,173.83,207.12,219.42,178.5,161.64,294.23,262.74,201.63,251.46,238.64,318.74,201.4,314.25,187.08,152.06,273.71,262.64,321.56,205.98,341.9,428.23,359.77,348.56,259.41,255.63,257.49,243.34,223.37,271.02,242.55,220.56
"Anapc7",95.73,99.36,110.75,117.15,95.93,132.27,94.9,116.48,142.69,138.71,141.41,110.42,149.24,134.84,99.81,126.94,119.47,124.15,100.65,105.37,114.58,119.56,114.39,117.08,137.54,118.96,116.13,108.59,110.39,96.15,119.79,106.04,92.46,111.6,107.98,103.98
"Angptl4",4186.49,3571.28,3219.69,3904.55,1773.15,2769.15,2260.76,2102.26,4260.87,4860.42,1598.01,485.17,2080.48,1543.72,721.23,1564.51,3060.21,1733.61,1092.15,548.91,646.7,993.52,2341.45,1612.68,85.63,111.43,219.14,161.81,1262.12,85.97,156.26,63.75,59.33,81.18,150.56,123.9
"Ap1g1",1144.8,1022.53,929.3,926.43,1106.7,1165,1164.74,1022.34,1221.47,1014.71,1079.84,1017.06,873.58,915.47,937.73,918.79,774.92,959.72,1099.92,1229.23,1014.62,894.18,946.76,1220.48,962.19,1197.97,1045.89,1148.77,841.22,874.57,943.27,1096.53,906.82,894.54,748.23,815.15
"Ap1s1",135.54,123.45,128.05,120.75,109.26,138.5,134.18,135.2,100.16,147.88,165.29,110.42,371.88,351.06,344.41,291.34,368.19,334.52,268.65,302.13,343.64,350.12,348.38,346.13,261.73,422.07,427.84,383.11,316.48,379.83,340.77,386.15,438.19,414.71,375.01,439.65
"Ap2s1",2898.55,2828.73,2729.71,2586.34,2741.71,2864.74,2827.47,2843.42,2868.74,3018.97,3267.14,2825.5,4079.22,3456.57,3387.88,3666.98,3999.49,3140.29,3781.13,4606.37,3745.14,3806.77,3527.11,4012.96,2556.3,3540.72,3495.68,2831.35,3201.76,2953.31,2985.92,3276.7,2802.2,2689.07,2690.03,2874.85
"Apc",513.76,418.46,418.19,437.26,409.16,423.18,420.34,466.48,543.32,388.67,416.01,335.27,534.08,833.75,855.1,901.44,533.03,847.35,879.48,1111.4,822.04,970.74,816.36,966.33,955.62,1022.12,787.02,1027.38,848.35,780.24,936.74,1063.43,727.28,650.17,644.68,664.6
"Apcs",2956.28,2734.41,3112.09,2888.46,3663.63,3631.49,4336.83,3161.6,3764,5353.46,12630.01,34536.1,20.29,6.29,9.74,8.21,1,2.49,1,5.32,1.01,1,1,1.05,1,1,1,1,1,1,4.41,1,1,1,1,4.39
"Aplp2",2494.45,2359.12,2210.92,2473.04,2755.04,2526.04,2223.35,2306.27,2414.4,2622.25,2147.22,1967.22,1348.08,1235.55,1057.56,1193.7,1048.02,1401.58,1149.44,1355.96,1368.35,1300.63,1339.83,1794.66,1033.16,1210.28,1591.38,1377.53,940.3,870.5,1117.98,1228.92,604.37,615.56,748.76,668.7
"Apoa1",278269.5,247110.98,270378.84,257811.42,233004.97,281096.75,251848.22,283703.16,254276.94,298163.53,271010.38,215199,221402.8,152360.75,136487.09,144693.06,130709.62,59906.27,123550.2,212218.03,166588.42,174634.36,109432.26,146266.42,46.2,43.01,298.86,148.74,56562.71,111.76,158.98,102.98,26.2,35.04,58.57,31.93
"Apoa2",243329.81,241772.67,236584.05,231261.84,256110.62,248153.33,236378.67,208760.05,265781,258041.62,209309.98,189397.27,35.4,24.17,70.06,15.52,32.67,29.53,38.5,54.23,33.5,30.25,119.94,22.95,26.49,36.17,68.66,37.63,66,45.25,50.13,50.88,26.2,25.6,28.08,29
"Apoa4",2508.38,3222.08,2608.66,3981.88,2666.18,1923.44,1441.55,2645.03,3884.86,3035.03,2120.96,2150.97,150198.73,54014.66,148492.38,37667.23,1866.36,627.69,15406.21,154025.22,23139.57,27659.75,3254.28,12202.15,44.89,14.28,55.22,28.29,1369.92,136.19,69.18,164.88,15.51,1,20.72,17.28
"Apob",34101.8,30292.97,31561.36,36969.67,34017.96,39045.56,33981.72,34737.57,35142.75,36559.38,40061.95,35834.41,14466.82,17421.12,19241.48,18523.08,6235.03,7617.2,17358.12,30745.28,20467.83,20768.33,12606.41,19828.66,782.81,1082.34,1050.36,1356.99,6553.11,2091.41,2403.55,2987.4,1085.3,721.49,1284.41,1132.66
"Apoc2",2205.81,2302.93,2378.09,2329.17,2892.77,2565.52,2629.21,2704.92,3179.85,3037.32,2641.52,2370.98,3747.78,1504.56,4769.54,930.67,167.27,112.33,537.65,4534.11,788.6,851.35,335.43,595.04,27.81,40.28,32.83,47.9,74.72,58.82,45.77,63.75,87.65,40.8,76.44,77.62
"Apoc3",167609.94,189786.27,169048.25,176795.95,199940.45,182231.17,159070.05,178054.39,184292.5,200947.72,149789.73,140097.86,46162.55,23081.35,46842.54,17109.26,2642.75,1528.31,9529.09,62292.27,11512.04,14355.34,2916.7,8425.5,14.01,25.91,55.22,61.91,1174.93,26.92,24.55,43.52,9.1,6.19,8.1,14.35
"Apoh",30524.62,31027.5,32128.19,31130.31,36163.91,35107.89,31439.93,31447.27,37206.31,36719.9,31389.18,28871.42,46.48,42.05,37.01,31.04,40.47,32.06,50.15,49.79,51.74,46.65,35.78,35.5,3.49,9.49,25.66,31.09,27.16,6.56,10.39,9.2,3.22,3.57,7.05,4.98
"App",1204.52,1026.55,1148.35,1100.87,1135.58,1102.66,1112.37,1351.75,1284.14,1218.81,1280.42,980.8,7848.01,6895.78,5216.6,7281,6025.33,5103.74,5610.69,6085.95,7426.39,8127.36,6061.21,6730.14,3622.11,3994.35,4830.3,4949.05,4774.39,4598.39,4722.14,4419.8,2488.53,2170.43,2944.45,2955.1
"Aqp8",4319.86,5971.51,5646.51,7415,7740.05,4493.83,2748.92,5347.64,5225.51,3220.78,2880.3,1674.68,13.24,2.89,24.61,11.86,1,1,15.19,36.45,4.1,10.2,3.41,1.05,10707.55,22070.63,17641.78,15401.23,2241.05,11642.89,8587.55,7974.14,12705.5,5296.44,11810.78,13195.6
"Arg1",48685.21,48033.86,44921.34,50930.54,52149.7,50399.34,46198.78,44230.38,36783.3,45087.8,45716.45,43590.4,54.54,41.2,32.05,39.26,35.59,38.82,47.24,68.69,69.98,56.68,64.45,36.55,24.52,14.96,14.02,32.96,32.71,3.85,14.75,13.49,36.88,17.73,85.9,25.48
"Arhgap35",1033.32,1096.79,965.81,937.22,1033.39,955.12,897.28,962.45,1031.23,989.49,1103.72,942.11,307.41,360.43,227.07,370.8,397.45,380.15,289.04,236.54,387.23,445.81,409.42,278.14,466.74,428.91,445.75,451.27,453.61,297.71,388.66,356.73,332.92,317.69,325.08,362.32
"Arhgef2",47.95,27.12,45.42,48.81,20.4,30.45,48.15,32.26,39.73,33.22,22.01,20.97,392.03,323.82,408.04,353.45,365.27,331.99,508.51,685.64,449.05,410.27,411.27,526.02,364.24,222.96,286.32,269.19,331.54,209.48,253.14,357.34,167.8,155.65,185.25,180.72
"Arhgef6",32.03,25.11,31.97,50.61,42.61,40.84,38.79,43.49,55.4,56.15,55.44,23.39,66.63,96.53,123.78,78.54,45.34,95.43,28.79,29.78,78.09,49.39,105.15,28.18,392.49,64.91,82.09,102.06,56.49,170.8,70.81,96.85,46.5,60.21,122.7,74.69
"Armh3",113.65,153.55,131.89,162.11,129.25,171.75,137.92,144.56,118.07,141,127.08,141.85,236.89,232.74,259.3,234.71,187.75,242.43,204.56,244.32,233.17,227.1,247.57,260.36,232.82,210.65,234.36,220.64,244.35,187.09,205.79,229.85,162.46,168.24,186.83,164.9
"Arrb1",81.8,47.18,95.38,100.97,111.48,96.94,93.03,92.15,147.16,102.02,127.08,81.41,906.83,834.6,752.63,697.77,967.07,770.47,879.48,921.31,613.25,700.07,721.1,773.89,391.18,408.38,458.29,370.97,575.68,259.03,310.29,365.31,136.27,164.56,168.43,184.24
"Atf4",2494.45,2473.51,2433.81,2120.55,2481.8,1969.15,2473.98,2368.03,3056.75,2695.63,2307.21,2607.91,3325.66,3602.99,3355.65,3542.77,3285.52,2986.53,4508.49,5189.97,3334.65,3319.22,3061.91,4409.34,2342.75,2886.61,2909.88,2709.03,2920.36,2113.13,2475.94,2789.42,2146,2190.88,2092.88,2033.63
"Atf7ip",521.73,476.66,520.03,491.22,422.49,508.37,478.32,608.72,460.5,530.85,530.63,516.6,604.6,733.29,805.52,770.83,419.89,707.11,521.14,697.87,635.55,770.24,818.21,815.72,1135.67,836.02,809.42,918.14,493.24,609.89,505.14,593.32,399.18,391.63,472.26,445.51
"Atg101",450.06,456.59,537.32,523.59,453.59,502.14,381.07,515.14,541.08,452.88,516.3,354.61,206.66,177.4,198.15,200.01,242.37,222.16,196.79,199.86,180.46,171.5,188.38,202.84,188.79,242.8,287.21,209.43,203.13,210.84,210.69,256.21,185.43,183.97,213.64,181.89
"Atg2b",424.19,438.53,402.82,433.67,444.7,510.45,482.06,472.09,641.79,505.62,439.89,415.05,309.42,360.43,376.64,363.49,257.98,350.58,281.28,402.18,308.17,351.04,348.38,315.79,342.55,294.8,305.13,328.95,269.71,270.56,271.64,280.11,199.86,223.3,215.21,199.47
"Atox1",1835.55,1839.33,1799.72,1654.77,1948.64,1846.55,1727.71,1570.73,1948.87,1663.69,1750.84,1725.45,855.45,758.83,833.61,679.5,706.64,675.85,894.04,982.45,765.28,715.56,659.13,852.33,528.51,591.07,648.19,547.45,554.28,616,606.37,721.42,465.44,406.32,534.82,514.05
"Atp6v1e1",2349.13,2060.09,2195.55,2129.55,2270.76,2409.67,2402.9,2147.18,3045.56,2814.88,2531.67,2056.67,2086.53,1699.51,1702.94,1883.26,2012.66,1701.5,1337.84,1757.25,1684.58,1981.39,1983.53,1892.97,1493.12,2182.55,1738.28,1841.6,1694.12,1871.53,1779.27,1816.71,1232.25,1195.03,1235,1356.44
"Atp6v1f",1530.98,1813.25,1688.28,1595.43,1644.3,1570.19,1735.19,1666.18,1854.87,1684.33,1726.96,1495.77,1398.45,1276.42,1183.99,1305.13,1467.43,1224.16,934.83,1036.92,1299.43,1302.46,1334.28,924.49,1570.66,1732.34,1792.92,1770.63,1482.48,1684.22,1671.51,1574.61,1252.55,1207.09,1359.05,1415.02
"Atp6v1g2",183.32,169.6,179.93,171.1,187.01,180.06,175.33,142.69,182.97,223.56,186.78,156.36,75.7,57.37,58.49,63.01,61.93,68.39,85.11,77.58,55.79,73.08,72.78,81.52,27.81,43.01,53.43,55.37,33.5,36.43,53.39,69.27,26.73,37.66,37.54,32.51
"Atp7a",139.52,159.57,131.89,153.12,149.24,144.73,145.4,112.74,153.88,152.47,179.61,175.7,368.86,437.04,384.08,534.28,405.26,504.34,418.2,391.06,427.77,480.44,547.23,551.12,339.93,532.23,409.03,438.2,433.79,333.68,369.61,321.18,311.01,284.13,295.64,297.88
"Axl",264.93,187.67,214.51,221.46,187.01,242.4,214.61,286.8,272.5,189.16,272.74,185.37,235.88,284.66,246.08,299.56,216.03,413.94,287.1,246.55,259.52,228.92,266.07,265.59,437.17,501.44,602.51,383.11,308.55,300.42,420.77,499.54,229.79,268.4,318.24,327.76
"BAAT",3294.69,3226.09,3037.15,2821.92,3061.61,2895.91,3274.48,2845.29,2700.88,3046.49,2610.47,2914.96,18.27,14.81,20.48,10.95,75.58,63.32,21.99,16.44,27.41,26.6,63.53,37.59,1,1,1,1,22.4,1,1.69,1.23,1,1,1,1
"Banf1",460.02,540.88,546.93,554.16,518.01,518.76,523.21,528.24,599.27,526.26,533.02,424.72,1035.78,957.18,987.32,1048.48,930.98,830.45,753.23,834.6,836.23,833.13,833.01,725.78,645.47,866.12,889.14,793.02,808.72,753.77,674.4,642.35,1116.82,1208.14,957.97,1000.85
"Bax",237.07,241.85,270.23,194.48,198.12,234.09,192.16,251.24,279.21,221.26,205.88,224.06,318.49,322.12,318.8,348.88,424.76,343.82,243.4,301.02,309.18,324.61,396.47,347.17,404.98,482.28,556.82,467.14,369.59,437.51,435.47,427.83,383.68,386.91,325.6,371.11
"Bcap31",4045.16,3938.54,3871.07,3749.89,3794.7,3797.73,3440.94,3554.64,3757.29,3791.78,3830.68,3388.83,3912.99,3651.51,3640.74,3793.93,3672.74,3267.87,3138.26,4179.5,3643.79,3799.48,3857.28,3597.75,2602.96,3466.82,3092.6,3185.23,3120.11,2542.04,2390.49,2549.77,2216.54,2266.92,2146.49,2324.78
"Bcl2",18.1,2.01,1.92,16.44,18.18,9.67,14.48,9.8,6.16,8,33.95,35.47,38.42,76.1,80.81,73.06,99.97,185.83,132.7,56.46,94.31,107.71,179.13,193.43,196.02,72.43,106.28,111.39,80.27,126.69,67,101.14,34.74,40.28,69.08,60.63
"Bcl2l1",639.17,721.5,583.43,707.02,773.48,878.24,732.69,810.85,955.13,799.15,788.52,804.3,945.11,785.22,816.26,969.94,805.16,591.36,653.21,955.77,897.05,957.07,1009.65,1144.13,458.86,633.49,621.32,548.38,633.54,460.59,496.97,541.22,549.33,423.1,428.11,482.41
"Birc3",93.74,121.44,153.02,145.93,133.69,117.72,117.35,135.2,111.35,159.35,139.02,180.54,326.55,289.77,301.44,252.98,205.31,209.48,211.36,236.54,510.88,383.84,388.15,326.25,521.94,242.12,247.8,257.99,220.57,299.07,167.69,200.43,267.19,202.85,273.04,270.94
"Blk",1.99,2.01,1.92,1.8,2.22,2.08,1.87,1.87,2.24,2.29,7.69,2.42,1.15,26.72,41.14,1,3.4,5.87,1,1.11,19.31,1,57.05,1.05,357.67,1,30.14,46.03,1,107.01,3.86,64.98,4.29,5.14,69.6,33.68
"Bmp10",129.57,129.47,147.26,136.93,133.69,117.72,137.92,95.9,147.16,120.36,107.98,98.33,1.01,1,1,1,1,1,1,1.11,1.01,1,1,1.05,1,1,1,1,1,1,1,1,1,1,1,1
"Bpi",1.99,2.01,18.52,7.45,2.22,2.08,1.87,1.87,2.24,2.29,22.01,4.04,1.01,3.74,1,1,1,3.34,1,1.11,1.01,1,1,1.05,1,4.7,4.16,1.21,1,1,1.69,1,1,1,1,1
"Braf",450.06,304.07,333.64,394.1,398.05,385.77,386.68,393.48,357.55,345.1,420.79,419.89,195.58,342.55,292.35,402.77,211.16,412.25,295.84,302.13,410.54,368.35,434.39,319.98,503.54,446.7,375.89,430.73,366.42,331.64,368.52,299.11,233.53,277.31,297.22,257.46
"Brpf3",137.53,97.36,126.12,154.92,135.92,155.12,194.03,178.25,247.88,202.92,208.27,144.27,394.05,351.06,354.33,410.07,334.05,324.38,291.96,353.26,389.25,453.1,367.8,404.69,298.53,295.49,387.53,364.43,328.37,367.61,396.28,389.83,279.48,235.88,248.86,245.75
"Bst2",1891.29,1753.04,1995.71,1714.12,1882,1734.35,1886.69,1857.08,2027.2,1851.73,2123.35,1621.49,125.06,164.63,198.15,155.25,92.16,116.55,181.25,175.4,118.63,114.09,119.02,102.44,277.5,157.28,211.97,169.28,82.65,160.62,95.3,132.4,96.2,156.17,153.18,129.76
"C1s1",8731.12,7490.73,8250.1,7540.89,8084.38,8425.26,7305.06,7713.36,8202.24,8641.91,9184.3,7017.8,439.38,550.27,541.91,564.42,367.22,702.04,290.02,263.22,508.85,418.47,632.31,360.77,1272.34,887.33,853.31,758.47,550.31,689.3,732.1,536.93,417.88,553.68,658.35,466.01
"C3",76625.81,75506.12,76462.26,74922.8,89937.11,84853.39,97969.78,81701.93,99992.91,103747.97,128599.7,154621.02,1129.47,934.2,982.36,891.39,979.75,1470.86,247.29,446.64,1540.66,372,1740.29,584.58,3133.89,1291.7,1585.11,1447.56,751.65,1238.33,359.82,904.68,486.81,429.39,778.2,437.89
"C3ar1",73.83,73.27,81.93,68.6,102.59,63.7,98.64,142.69,93.45,76.79,98.42,112.84,149.24,178.25,223.76,157.99,102.89,190.05,228.84,289.9,171.34,163.3,142.14,157.87,121.11,161.38,154.65,131.94,89.78,71.72,146.46,147.11,106.88,111.07,94.31,101.05
