"Probe Name","liver conv 1","liver conv 2","liver conv 3","liver conv 4","liver cef 1","liver cef 2","liver cef 3","liver cef 4","liver cdi 1","liver cdi 2","liver cdi 3","liver cdi 4","ileum conv 1","ileum conv 2","ileum conv 3","ileum conv 4","ileum cef 1","ileum cef 2","ileum cef 3","ileum cef 4","ileum cdi 1","ileum cdi 2","ileum cdi 3","ileum cdi 4","cecum conv 1","cecum conv 2","cecum conv 3","cecum conv 4","cecum cef 1","cecum cef 2","cecum cef 3","cecum cef 4","cecum cdi 1","cecum cdi 2","cecum cdi 3","cecum cdi 4"
"Ube2d2a",233.08,257.91,202.98,230.45,182.57,198.76,194.03,223.17,191.93,182.28,182,187.79,186.52,273.6,235.33,226.49,183.85,282.14,233.69,271,226.07,231.65,275.32,311.61,331.38,305.75,259.44,317.75,227.7,233.24,237.9,259.27,168.87,170.33,170.53,187.16
"Ube2n",1114.94,1026.55,1002.31,1039.72,960.09,1063.18,1031.94,1042.93,957.37,966.56,1063.13,973.54,1210.06,1450.93,1326.12,1516.1,1367.94,1530,1448.54,1433.77,1421.06,1522.09,1529.42,1632.55,1412.96,1852.08,1502.7,1528.8,1523.7,1299.41,1474.48,1546.41,1530.42,1506.53,1387.44,1531.01
"Ube4b",464,418.46,450.85,453.45,478.02,462.66,452.14,487.06,588.08,620.28,509.14,550.45,797.02,689.88,745.19,755.31,634.47,610.79,466.76,776.79,617.3,654.51,604.57,505.1,396.44,400.86,403.66,424.19,429.04,289.57,341.86,310.15,296.58,293.04,270.41,262.15
"Uqcrb",17989.58,17679.69,18305.14,16442.9,19647.19,18322.42,17240.31,16517.42,20100.2,18931.52,15416.66,15274.26,10901.53,12623.26,13160.34,13974.73,9411.81,11322.74,9797.12,12557.87,12807.37,12721.34,11797.16,11796.35,9722.56,15379.69,12000.53,13560.85,14065.14,15292.05,13310.18,14497.49,11670.98,10963.74,9973.07,11908.58
"Uqcrfs1",7319.76,6976.96,7033.81,6904.26,7184.68,6677.73,6839.35,6678.36,7376.36,7442.56,5939.17,5610.7,5503.72,4579.42,5623.99,4470.7,4690.05,4334.08,4711.45,7192.02,4490.11,4365.42,4315.09,4675,4747.05,8447.91,6873.44,7171.33,5645.52,6983.2,6881.26,7975.98,6202.87,5425.44,5388.77,5884.14
"Uqcrh",11376.68,11269.69,11380.17,10483.05,12329.63,11321.89,10967.19,10971.83,12190.6,12086.3,10564.5,9471.77,11647.03,10171.54,11116.77,9845.6,9550.31,9862.83,10271.98,12969.17,9732.23,10233.43,9614.5,9480.79,8080.49,12118.04,10528.87,10168.6,10203.3,11195.65,10727.61,11727.08,8541.76,8399.37,8392.4,8946.15
"VLDLR",26.06,37.15,37.74,36.22,84.82,72.01,33.18,34.13,120.31,97.43,17.24,37.89,83.76,116.96,89.07,142.47,48.27,139.36,96.77,70.91,113.57,87.66,94.05,93.02,270.93,366.65,313.19,437.26,220.57,797.88,744.61,737.35,405.59,181.87,347.68,572.63
"Vamp8",1982.86,2015.94,2066.81,1920.93,1986.41,1985.78,1854.89,1965.64,2253.26,2191.13,1984.85,1737.54,1439.76,1181.92,1205.47,1205.58,1306.5,961.41,1256.26,1720.57,1229.49,1371.72,1226.99,1402.46,801.86,1202.07,1142.62,1133.83,1127.37,918.01,950.35,1083.65,778.57,643.88,762.43,791.72
"Vav1",4.16,19.09,1.92,23.64,20.4,15.9,1.87,43.49,17.35,8,33.95,8.88,75.7,82.06,88.24,42.92,59,54.88,80.26,70.91,104.44,46.65,109.77,58.51,428.63,30.01,86.57,117.93,32.71,130.08,52.3,115.24,30.47,22.45,84.85,65.32
"Vcam1",133.55,127.46,104.99,120.75,120.36,146.81,113.61,150.17,124.78,202.92,172.45,187.79,63.61,84.61,114.69,61.18,42.42,55.72,29.76,36.45,66.94,53.03,85.72,39.68,349.78,69.01,129.57,127.27,34.29,202.02,95.3,104.82,64.67,76.46,138.47,106.32
"Vegfa",862.13,904.13,971.57,917.43,973.41,886.55,872.97,908.18,1114.04,1250.91,1027.31,816.39,363.82,352.77,369.2,361.67,169.22,296.5,251.17,482.21,446.01,434.88,566.65,541.7,257.79,432.33,317.67,332.69,183.31,190.48,206.88,203.5,251.16,146.21,211.01,238.72
"Vegfb",133.55,97.36,154.95,109.96,124.81,78.24,89.29,86.54,135.97,124.95,115.14,54.82,72.68,70.14,62.63,77.62,95.09,105.57,89.97,77.58,82.15,84.93,88.5,101.39,109.29,123.07,139.42,102.99,96.12,92.75,92.58,106.65,70.01,74.37,54.36,55.36
"Vim",342.57,328.15,358.62,332.96,362.51,342.14,330.57,487.06,346.36,301.53,420.79,315.93,1159.69,1292.59,1048.47,1142.56,1309.42,1685.45,1188.29,740.11,1244.7,1095.59,1620.06,1005.03,1294.68,1575.65,1418.51,948.02,1512.6,1075.46,1457.61,1235.05,703.76,922.86,1230.79,893.65
"Was",1.99,2.01,1.92,2.06,2.22,2.08,1.87,1.87,8.4,2.29,2.39,2.42,13.24,17.36,23.79,7.3,3.4,5.03,9.37,3.1,5.12,6.56,11.74,4.12,120.46,2.64,14.02,11.48,4.97,44.57,21.82,30.04,6.96,10.39,33.33,13.77
"Wwc1",489.88,424.48,477.75,406.69,502.46,356.68,390.42,367.28,451.55,418.48,470.93,393.29,663.03,634.54,617.11,698.68,725.18,715.55,979.5,964.66,819,766.6,731.27,1149.36,130.97,175.75,224.51,205.7,409.22,207.45,270.56,234.76,169.4,172.96,145.83,178.96
